POR_CP,DISTANCIA,RITMO,FREC_CARDIACA,CADENCIA,TSC,FP,LSS,OSC_VERTICAL,L_ZANCADA,RFP,RLSS,ROV,RE,AIRE,PENDIENTE,ALTITUD,DESNIVEL,RSS,DURACION
75.688,940,524,141,165,339,66,12.4,5280,0.696,40,151.219,7.542,0.951,1,-0.1,17,6,6,491
77.064,1000,528,135,160,339,67,12,5560,0.71,39.88,146.341,7.942,0.924,2,0.2,18,8,7,528
80.275,640,490,146,168,326,66,12.4,5200,0.73,37.714,151.219,7.222,0.958,1,0.1,18,3,4,313
75.688,670,532,144,163,341,66,12.3,5460,0.686,40,150,8.149,0.927,1,-0.3,19,6,4,359
80.275,670,506,147,166,329,67,12.3,5390,0.714,38.285,150,7.7,0.926,0,0.3,18,7,5,339
75.688,630,517,144,165,338,65,12.2,5240,0.698,39.393,148.78,7.485,0.954,0,-0.2,16,3,4,328
80.275,930,491,149,170,322,65,12.5,5050,0.715,37.142,152.439,7.112,0.949,0,0,15,4,6,459
75.688,1120,528,145,165,339,65,12.2,5140,0.689,39.393,148.78,7.558,0.941,0,0,14,5,7,591
80.275,630,488,149,169,323,66,12.2,5120,0.73,37.714,148.78,7.111,0.964,0,-0.3,15,3,4,306
79.357,1000,495,143,168,328,66,12.3,5200,0.721,38.15,150,7.323,0.957,1,0,17,5,7,495
76.605,1000,522,142,165,337,66,12.4,5270,0.696,39.52,151.219,7.528,0.094,1,0,17,6,6,522
77.064,1000,517,145,165,336,66,12.4,5360,0.703,39.285,151.219,7.768,0.944,1,0,19,9,6,517
78.899,1000,509,146,166,332,66,12.3,5330,0.71,38.372,150,7.507,0.936,0,0.2,17,9,7,509
78.44,1000,499,146,169,326,65,12.4,5120,0.711,38.011,151.219,7.314,0.096,0,-0.3,15,4,7,499
76.146,800,535,134,158,342,67,11.9,5600,0.708,40.361,145.121,7.887,0.921,2,0.4,19,7,5,429
76.605,1000,520,147,167,335,65,12.3,5080,0.69,38.922,150,7.47,0.944,0,0,14,5,6,520
81.192,800,491,142,168,326,66,12.3,5230,0.727,37.288,150,7.263,0.943,1,0.1,16,4,6,393
77.064,800,517,142,166,335,66,12.4,5240,0.698,39.285,151.219,7.485,0.943,1,-0.1,17,4,5,414
77.981,800,511,144,166,333,66,12.4,5230,0.708,38.823,151.219,7.366,0.945,1,0.3,18,6,5,408
76.605,800,523,145,164,337,66,12.3,5440,0.701,39.52,150,7.771,0.942,1,-0.3,19,6,5,417
79.816,800,509,147,166,331,67,12.3,5370,0.713,38.505,150,7.563,0.093,0,0.3,18,8,6,405
77.064,800,512,145,167,334,65,12.2,5150,0.704,38.69,148.78,7.357,0.957,0,0,16,5,5,408
78.899,800,500,149,169,325,65,12.4,5100,0.706,37.79,151.219,7.183,0.948,0,0,15,4,5,402
75.688,800,521,144,166,336,65,12.2,5100,0.696,39.393,148.78,7.285,0.958,1,-0.3,14,2,5,415
78.899,800,498,149,168,327,66,12.2,5150,0.719,38.372,148.78,7.152,0.096,0,-0.2,15,3,5,397
78.44,1500,513,137,163,335,66,12.1,5450,0.718,38.596,147.56,7.569,0.936,2,0.2,18,11,10,768
77.064,1500,516,142,166,335,66,12.4,5250,0.7,39.285,151.219,7.5,0.945,1,0,17,8,10,774
78.44,990,503,148,168,330,66,12.2,5170,0.705,38.596,148.78,7.281,0.947,0,0,14,4,6,501
78.44,1500,519,146,165,335,66,12.1,5360,0.701,38.596,147.56,7.444,0.924,0,0.3,18,16,10,778
77.981,1500,498,146,168,328,66,12.3,5180,0.718,38.823,150,7.194,0.969,0,-0.4,16,6,10,746
76.605,1500,520,147,166,336,65,12.3,5130,0.695,38.922,150,7.328,0.944,0,0.1,14,7,9,780
75.688,640,540,133,157,344,66,11.9,5600,0.711,40,145.121,8.115,0.924,2,0.8,19,7,4,344
78.44,2000,511,139,164,334,66,12.1,5390,0.715,38.596,147.56,7.591,0.937,2,0.1,18,13,13,1023
77.064,2000,519,144,165,336,66,12.4,5310,0.699,39.285,151.219,7.585,0.938,1,0,18,15,13,1040
78.44,2000,504,146,167,329,66,12.3,5230,0.712,38.596,150,7.366,0.951,0,0,16,13,13,1008
77.522,2000,512,147,167,333,65,12.3,5120,0.701,38.461,150,7.314,0.947,0,0,14,9,13,1024
77.522,3000,515,140,164,335,66,12.2,5350,0.712,39.053,148.78,7.535,0.944,1,0.1,17,19,20,1541
77.981,3000,508,146,166,331,66,12.3,5270,0.71,38.823,150,7.422,0.948,0,0,17,22,20,1526
77.522,4000,515,141,164,335,66,12.2,5350,0.71,39.053,148.78,7.535,0.942,1,0.1,18,28,26,2059
77.981,4000,508,147,167,331,65,12.3,5180,0.708,38.235,150,7.295,0.951,0,0,15,22,26,2028
77.981,7010,517,143,166,333,66,12.3,5280,0.704,38.823,150,7.436,0.094,1,0,17,46,46,3597
79.816,1500,502,142,164,334,67,11.9,5460,0.728,38.505,145.121,7.583,0.938,1,0,10,11,10,753
84.862,4500,476,157,165,328,68,11.5,5540,0.763,36.756,140.243,7.289,0.093,1,0.2,11,35,36,2143
75.229,1000,530,126,159,344,67,11.8,5590,0.711,40.853,143.902,7.873,0.943,1,0.2,8,6,6,530
75.229,500,505,157,163,342,66,11.7,5400,0.727,40.243,142.682,7.5,0.988,0,-0.8,12,1,3,253
77.522,1000,521,136,163,339,66,12.1,5420,0.706,39.053,147.56,7.633,0.931,1,0.2,8,6,6,521
80.275,1000,505,143,164,335,67,11.9,5500,0.724,38.285,145.121,7.746,0.927,1,0,11,8,7,505
84.862,1000,485,152,166,326,68,11.7,5520,0.745,36.756,142.682,7.459,0.913,2,0.4,9,11,8,485
84.403,1000,478,155,164,331,68,11.2,5590,0.765,36.956,136.585,7.166,0.932,0,0,10,6,8,478
84.403,1000,475,159,164,331,68,11.4,5620,0.77,36.956,139.024,7.205,0.938,0,0.2,12,10,8,475
84.862,1000,467,159,166,325,68,11.4,5490,0.773,36.756,139.024,7.129,0.949,1,-0.3,11,3,8,467
74.77,800,536,125,158,346,67,11.7,5640,0.713,41.104,142.682,7.943,0.944,1,0.5,9,6,5,426
76.146,800,526,135,163,342,66,12.2,5430,0.697,39.759,148.78,7.757,0.936,1,0.2,7,5,5,422
79.816,800,507,140,164,335,67,11.9,5400,0.719,38.505,145.121,7.5,0.926,1,0.1,9,5,6,407
81.192,800,526,147,164,332,67,12,5520,0.737,37.853,146.341,7.561,0.933,1,0.1,11,8,6,397
84.862,800,483,152,166,326,68,11.7,5540,0.747,36.756,142.682,7.386,0.916,2,0.2,9,8,7,387
84.403,800,482,155,164,331,68,11.2,5600,0.758,36.956,136.585,7.368,0.923,0,0.2,10,6,7,386
84.403,800,472,158,164,331,68,11.3,5640,0.774,36.956,137.804,7.324,0.943,0,0.1,12,7,6,378
85.321,800,467,159,165,327,68,11.3,5540,0.782,36.559,137.804,7.102,0.948,1,-0.1,12,4,6,372
83.944,800,473,161,166,326,67,11.5,5430,0.766,36.612,140.243,7.051,0.095,1,-0.1,11,4,6,377
78.899,800,497,160,165,336,66,11.7,5390,0.734,38.372,142.682,7.383,0.963,1,-0.3,12,4,5,396
80.275,1000,492,161,165,333,67,11.7,5390,0.739,38.285,142.682,7.383,0.952,0,0,12,6,7,492
